id,name,description
GOV-01,"Security, Compliance & Resilience Program (SCRP)","Mechanisms exist to facilitate the implementation of security, compliance and resilience governance controls."
GOV-01.1,Steering Committee & Program Oversight,"Mechanisms exist to align security, compliance and resilience capabilities with business requirements through a steering committee or advisory board, comprised of key cybersecurity, data protection and business executives, which meets formally and on a regular basis."
GOV-01.2,Status Reporting To Governing Body,"Mechanisms exist to provide governance oversight reporting and recommendations to those entrusted to make executive decisions about matters considered material to the organization's Security, Compliance & Resilience Program (SCRP)."
GOV-01.3,Commitment To Continual Improvements,"Mechanisms exist to commit appropriate resources needed for continual improvement of the organization's Security, Compliance & Resilience Program (SCRP), including:
(1) Staffing;
(2) Budget;
(3) Processes; and
(4) Technologies."
GOV-01.4,Secure Practices Alignment Justification,"Mechanisms exist to align the organization’s Security, Compliance & Resilience Program (SCRP) with one or more industry-recognized frameworks that:
(1) Support external scrutiny; and
(2) Provide defensible justification for secure practices."
GOV-02,"Publishing Security, Compliance & Resilience Documentation","Mechanisms exist to establish, maintain and disseminate policies, standards and procedures necessary for secure, compliant and resilient capabilities."
GOV-02.1,Exception Management,"Mechanisms exist to prohibit exceptions to standards, except when the exception has been formally assessed for risk impact, approved and recorded."
GOV-03,"Periodic Review & Update of Security, Compliance & Resilience Program","Mechanisms exist to review the Security, Compliance & Resilience Program (SCRP), including policies, standards and procedures, at planned intervals or if significant changes occur to ensure their continuing suitability, adequacy and effectiveness."
GOV-04,"Assigned Security, Compliance & Resilience Responsibilities","Mechanisms exist to assign one or more qualified individuals with the mission and resources to centrally-manage, coordinate, develop, implement and maintain an enterprise-wide Security, Compliance & Resilience Program (SCRP)."
GOV-04.1,Stakeholder Accountability Structure,"Mechanisms exist to enforce an accountability structure so that appropriate teams and individuals are empowered, responsible and trained for mapping, measuring and managing Technology Assets, Applications, Services and/or Data (TAASD)-related risks."
